	user	text	location	date
115	coinstats	"BitcoinCash - BCH
Price: $314.15
Change in 1h: +0.29%
Market cap: $5,623,059,050.00
Ranking: 5
#BitcoinCash #BCH"	Blockchain	2019-07-19 03:00:21
116	btcscal	"Going up signal on a 5 minutes chart!
#bitcoin #bitcoincash #ripple #ethereum #ethereumclassic #zcash #monero #btc… https://t.co/xxQMMTR5ja"		2019-07-19 02:55:41
117	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10594.63 $ (-0.04 %)
$ETH - 222.98 $   (-0.43 %)
$XRP - 0.32 $     (-0.1… https://t.co/fdwRJgJWGJ"		2019-07-19 02:43:14
118	cryptosUSD	"🔄 Prices update in $USD (1 hour):

$BTC   - 10628.6 $   (+0.02 %)
$ETH   - 224.26 $    (-0.37 %)
$XRP   - 0.32 $… https://t.co/egG46KVIkI"		2019-07-19 02:43:08
119	BittrexPrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10585.61 $  (-0.19 %)
$ETH - 223.02 $    (-0.54 %)
$XRP - 0.32 $      (+… https://t.co/VSXIt4aQvg"		2019-07-19 02:43:08
120	btcscal	"Going up signal on a 5 minutes chart!
#bitcoin #bitcoincash #ripple #ethereum #ethereumclassic #zcash #monero #btc… https://t.co/DKtPUHvgIY"		2019-07-19 02:41:39
121	CoinoMonitor	Top12 from big coins: #XRP 0.72%, #USDT 0.08%, #BCH -0.01%, #BTC -0.21%, #BSV -0.28%, #XRP -0.49%, #ETH -0.55%,… https://t.co/WTwgHdUM5A		2019-07-19 02:33:01
122	bitcoinbizzz	IRS Agents Propose Draconian Tactics to Investigate Bitcoin Users https://t.co/5mZqjYtggJ #News #BCH… https://t.co/fcLnLOXPvB	Nederland	2019-07-19 02:20:37
123	aWebAnalysis	"Bitcoin Cash BCH Current Price:
$312.95
1 Hour: -0.72 % | 24 Hours: 6.95 % | 7 Days: -9.61 %
#bch #bitcoin cash"	New York, NY	2019-07-19 02:17:03
124	CurrencyNews	CoinDesk: Altcoins Back on the Rise With Litecoin Leading the Charge #Cryptocurrencynews #QASH #Ethereum… https://t.co/Sztqd3ua9R	London, England	2019-07-19 02:06:09
125	CurrencyNews	Area 51 Aliens Had Nothing to Do with Anheuser-Busch’s Planned Asset Sales #BLockchain #Cryptocurrencynews… https://t.co/CKpUak9yo1	London, England	2019-07-19 02:06:07
126	AltcoinSidekick	Just like Gemini and Coinbase dollars, Tether and other stable tokens, if Libra is looking for legitimacy (consumer… https://t.co/qyxHN3IQc5		2019-07-19 02:04:07
127	erich_strasser	Bitsa is a Crypto Card Europeans Can Top Up With BCH https://t.co/W5ZezwUnb6 #Services #bankaccount #BCH #bitcard… https://t.co/mgChJlqP8E	Österreich	2019-07-19 02:01:38
128	bch_price	"Price of 1 BCH to USD: $312.69 (Change: -0.59 %)
Price of 1 BCH to BTC: 0.0295456 Ƀ (Change: +0.21 %)
#bitcoincash #bch $bch"	Bulgaria	2019-07-19 02:01:31
129	coinstats	"BitcoinCash - BCH
Price: $312.47
Change in 1h: -0.71%
Market cap: $5,592,919,344.00
Ranking: 5
#BitcoinCash #BCH"	Blockchain	2019-07-19 02:00:22
130	DomainAddress4u	Buy #Cypto with Skrill prepaid #Mastercard and app: https://t.co/mX0pUswAeY #BitCoin #Litecoin #Ether #ethc #bch… https://t.co/WOBeZeM1vy	www	2019-07-19 02:00:14
131	ETHtrenpreneur	The price of Freedom will increase soon. Purchase it, use it, share it, donate it!  #BTC #ETH  #BCH #monacoin resis… https://t.co/9aCv82Zq73	Japan	2019-07-19 01:48:33
